virus,realm,locus_tag,host,type,shape,corr,p.value
Gordonia phage Clown,NA,KNV25,NA,DNA,linear,0.443366452367037,0.0004963984382651
Rhodococcus phage Sleepyhead,Duplodnaviria,HWC38,bacteria,DNA,linear,0.389421390999416,0.0024626055174937
Beihai weivirus-like virus 21,Riboviria,BWV11,invertebrates,RNA,linear,0.117721246424067,0.377811336087855
limnipivirus A1,Riboviria,C187,vertebrates,RNA,linear,-0.387142022209234,0.00262108064263549
Gordonia phage Untouchable,Duplodnaviria,HWC79,bacteria,DNA,linear,0.0906487434248977,0.493724857160829
Wuhan Insect virus 5,Riboviria,BJD86,invertebrates,RNA,linear,-0.447457627118644,0.000435089892965909
Gordonia phage Tanis,Duplodnaviria,HWC73,bacteria,DNA,linear,0.0602571595558153,0.649487135221008
Simian adenovirus DM-2014,Varidnaviria,QH87,vertebrates,DNA,linear,-0.490707188778492,9.78981228790711e-05
Mycobacterium phage Minerva,Duplodnaviria,PBI,bacteria,DNA,linear,0.451957919345412,0.000375688192135938
Sweet potato leaf curl Sao Paulo virus,Monodnaviria,QP75,land plants,DNA,circular,-0.42104032729398,0.000992586812009183
Actinidia virus 1,Riboviria,CKM56,land plants,RNA,linear,-0.496376388077148,7.93957057018335e-05
megrivirus B3CP-APO,Riboviria,B2G59,vertebrates,RNA,linear,-0.313208649912332,0.0160584655279371
Salmonella phage phiSG-JL2,Duplodnaviria,phiSDJL2,bacteria,DNA,linear,-0.142139099941555,0.282055589697841
Privet ringspot virus,Riboviria,APL36,land plants,RNA,linear,-0.497194623027469,7.70095806513691e-05
Ixcanal virus,NA,KM580,NA,RNA,linear,-0.445295149035652,0.000466577217340199
Pseudomonas phage VCM,Duplodnaviria,VCM,bacteria,DNA,linear,-0.149444769140853,0.257855724405183
Hubei tombus-like virus 19,Riboviria,BWR70,invertebrates,RNA,linear,-0.257218001168907,0.0494891855055644
Staphylococcus phage ISP,Duplodnaviria,HOQ69,bacteria,DNA,linear,-0.534073641145529,1.80385785363033e-05
Passion fruit woodiness virus,Riboviria,PaFrWoV,land plants,RNA,linear,-0.471595558153127,0.000193590472962556
Enterobacteria phage Kha5h,Duplodnaviria,KMB97,bacteria,DNA,linear,-0.545704266510812,1.10532364973522e-05
McMurdo Ice Shelf pond-associated circular DNA virus-8,NA,IT54,NA,DNA,circular,0.257744009351257,0.0510483748457039
Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,Riboviria,APL32,vertebrates,RNA,linear,0.19614260666277,0.136296863413467
Lactococcus phage TP901-1,Duplodnaviria,TP901,bacteria,DNA,linear,-0.54886031560491,9.65119062919432e-06
Yersinia phage vB YenM TG1,NA,AVV33,NA,NA,NA,-0.541613091759205,1.31551410883295e-05
Lactococcus phage CHPC1182,Duplodnaviria,KMD02,bacteria,DNA,linear,-0.528287551139685,2.28815660534149e-05
Bromus-associated circular DNA virus 2,unclassified viruses,TH94,land plants,DNA,circular,-0.37270601987142,0.00385418525086222
Escherichia phage haarsle,Duplodnaviria,H1N94,bacteria,DNA,linear,-0.427703097603741,0.000810880423500126
Anopheles C virus,Riboviria,A7330,invertebrates,RNA,linear,-0.445412039742841,0.000464823477226521
Ostreococcus tauri virus OtV5,Varidnaviria,OtV5,eukaryotic algae,DNA,linear,-0.379076563413209,0.00325761913745707
Penicillium digitatum virus 1,Riboviria,A6R61,fungi,RNA,linear,0.0130917592051432,0.921531294594179
Mycobacterium phage Yuna,Duplodnaviria,I5H08,bacteria,DNA,linear,0.527878433664524,2.32661982538917e-05
Pixuna virus,Riboviria,D1S00,vertebrates,RNA,linear,-0.0613091759205143,0.643777080178512
Acinetobacter phage vB AbaM Acibel004,NA,vB,NA,NA,NA,-0.4645821157218,0.000246361418639874
Escherichia phage ID62,Monodnaviria,CIV62,bacteria,DNA,circular,-0.397428404441847,0.00197162489228047
Tupaia virus,Riboviria,TUPVp,vertebrates,RNA,linear,-0.453711279953244,0.000354623438620302
Beecentumtrevirus Nf,Duplodnaviria,H3025,bacteria,NA,NA,-0.538573933372297,1.49523385200085e-05
Rhodococcus phage REQ3,Duplodnaviria,RoPhREQ3,bacteria,DNA,linear,0.462127410870836,0.000267746004931472
Zucchini green mottle mosaic virus,Riboviria,ZGMMVgp,land plants,RNA,linear,-0.377849210987727,0.00336570517376659
Saimiriine betaherpesvirus 4,Duplodnaviria,SaHV,vertebrates,DNA,linear,-0.369491525423729,0.0041905690103092
Squash chlorotic leaf spot virus,Riboviria,CGV05,land plants,RNA,linear,-0.453828170660433,0.00035325824948207
Xanthomonas phage Xoo-sp2,Duplodnaviria,JTY55,bacteria,DNA,linear,0.515371127995324,3.83774671181346e-05
Shinobi tetravirus,Riboviria,EXL21,invertebrates,RNA,linear,-0.159146697837522,0.227958803855789
Sugarcane mosaic virus,Riboviria,SCMVgp,land plants,RNA,linear,-0.462770309760374,0.000261986825736258
Human orthorubulavirus 2,Riboviria,HPIV2gp,human:vertebrates,RNA,linear,-0.504441846873174,5.85885802299335e-05
Human papillomavirus type 161,Monodnaviria,D1R42,human,DNA,circular,-0.567095265926359,4.30723241361385e-06
Wilkie narna-like virus 1,NA,CFB67,NA,RNA,linear,-0.289888953828171,0.0262909697195272
Enterococcus phage vB EfaP Efmus1,NA,H3T71,NA,NA,NA,-0.497194623027469,7.70095806513691e-05
Colletotrichum gloeosporioides chrysovirus 1,Riboviria,FLB26,fungi,RNA,linear,-0.336703682057277,0.00941880246277524
Propionibacterium phage PHL301M00,Duplodnaviria,ACQ62,bacteria,DNA,linear,0.0852717708942139,0.519787694213893
Camponotus nipponicus virus,Riboviria,AZ266,invertebrates,RNA,linear,-0.253886616014027,0.0525928129928819
Lactobacillus phage T25,Duplodnaviria,HWA80,bacteria,DNA,circular,-0.419345412039743,0.00104433844327114
Macaca fascicularis polyomavirus 1,Monodnaviria,G141,vertebrates,DNA,circular,-0.447238786621727,0.000553475400861298
Mermet virus,Riboviria,FLB00,vertebrates,RNA,linear,-0.5,6.93224333877161e-05
Urucuri virus,Riboviria,B2K44,vertebrates,RNA,linear,-0.423728813559322,0.000915243385500923
Lactococcus phage 936 group phage PhiF0139,Duplodnaviria,HYO85,bacteria,DNA,linear,-0.560549386323787,5.78025019446782e-06
Mycobacterium phage Big3,Duplodnaviria,JMN49,bacteria,DNA,linear,0.501168907071888,6.63340530466352e-05
Hubei picorna-like virus 41,Riboviria,BWW95,invertebrates,RNA,linear,-0.511747516072472,4.42207392454237e-05
Lake Sarah-associated circular virus-5,NA,A0S18,NA,DNA,circular,-0.467621274108708,0.000222056736688342
Strawberry latent ringspot virus satellite RNA,NA,SlrvsRgp1,NA,RNA,linear,-0.320864991233197,0.013551824101324
Bacillus phage Spock,Duplodnaviria,Spock,bacteria,DNA,linear,-0.497428404441847,7.63401020139866e-05
crAssphage cr1 1,NA,KNV31,NA,NA,NA,-0.600993571011105,8.66395722433888e-07
Staphylococcus phage SA137ruMSSAST121PVL,Duplodnaviria,KMD32,bacteria,DNA,linear,-0.565575686732905,4.61371590822948e-06
Staphylococcus phage X2,Duplodnaviria,X2ORF0,bacteria,DNA,linear,-0.546171829339568,1.08341392099982e-05
Phaius virus X,Riboviria,PhVX,land plants,RNA,linear,-0.186323787258913,0.157330149836048
Olive latent virus 1,Riboviria,OLV1gp,land plants,RNA,linear,-0.335359438924606,0.00972073814719881
Beihai sobemo-like virus 20,Riboviria,BWU98,invertebrates,RNA,linear,-0.158094681472823,0.23107827360158
Cotton leaf curl Shahdadpur virus,Monodnaviria,A1H81,land plants,DNA,circular,-0.419345412039743,0.00104433844327114
Campylobacter phage vB CcoM-IBB 35,NA,FDG52,NA,NA,NA,-0.592577440093513,1.30625609689135e-06
Cyclovirus NGchicken8/NGA/2009,Monodnaviria,D1Q29,vertebrates,DNA,circular,-0.36218585622443,0.00505367563555255
Parana virus,Riboviria,PARV,vertebrates,RNA,linear,-0.519763757728629,3.78579778996847e-05
Louping ill virus,Riboviria,LIVgp01,human:invertebrates:vertebrates,RNA,linear,-0.07416715371128,0.575728652493834
Choristoneura fumiferana granulovirus,Naldaviricetes,COGV,invertebrates,DNA,circular,-0.572939801285798,3.29818190052417e-06
Eriocheir sinensis reovirus,Riboviria,FK922,invertebrates,RNA,linear,-0.484336645236704,0.000123387641873835
Marinomonas phage CPP1m,Duplodnaviria,HOR72,bacteria,DNA,circular,-0.506721215663355,5.36984827856896e-05
Mycobacterium phage Quasimodo,NA,KHO64,NA,DNA,linear,0.478492109877265,0.000152013723814341
Porcine bocavirus 5/JS677,Monodnaviria,PBoV5,vertebrates,DNA,linear,0.00502630040911748,0.969941149010931
Atypical porcine pestivirus 1,Riboviria,BCR60,vertebrates,RNA,linear,-0.395441262419638,0.0020844857316398
Beihai charybdis crab virus 1,NA,BVF27,NA,RNA,linear,-0.545119812974869,1.13329395875759e-05
Malvastrum yellow vein Baoshan virus,Monodnaviria,MYVBV,land plants,DNA,circular,-0.300876680303916,0.0209338843449299
Nanovirus-like particle,Alphasatellitidae,D1U74,land plants,DNA,circular,-0.42618967055277,0.000944032880740028
Pseudomonas phage Epa5,Duplodnaviria,JTY53,bacteria,DNA,linear,0.417811770806326,0.0013397852213407
Beihai picorna-like virus 67,Riboviria,BVK02,invertebrates,RNA,linear,-0.466569257744009,0.000230209201364878
Shallot virus X,Riboviria,ShVXgp,land plants,RNA,linear,-0.238106370543542,0.069529723624959
Flavobacterium phage vB FspP elemoB 14-3B,NA,M1M19,NA,NA,NA,-0.531452828447507,2.37759960415723e-05
Cardamine chlorotic fleck virus,NA,CCFVgp,NA,RNA,linear,-0.299824663939217,0.0214028442935371
Beihai picorna-like virus 121,Riboviria,BVK18,invertebrates,RNA,linear,-0.466686148451198,0.000229290010135421
Enterococcus phage phiFL1A,Duplodnaviria,EP,bacteria,DNA,linear,-0.566160140268849,4.49348366601063e-06
Apricot latent virus,Riboviria,ApLV,land plants,RNA,linear,-0.4822910578609,0.000132787464647031
New Jersey polyomavirus-2013,Monodnaviria,FD57,human,DNA,circular,-0.49041496201052,9.89519348021862e-05
Croton yellow vein mosaic virus,Monodnaviria,CYVMVgp,land plants,DNA,circular,-0.486732904734074,0.000113157522361772
Capra aegagrus polyomavirus 1,Monodnaviria,KM713,vertebrates,DNA,circular,-0.525599064874343,2.55216557338708e-05
Bacillus phage 250,Duplodnaviria,AVT71,bacteria,DNA,circular,-0.54114552893045,1.34178197660466e-05
Escherichia phage RB49,Duplodnaviria,RB49p,bacteria,DNA,linear,-0.460724722384571,0.000280716046143625
Culex Flavi-like virus,NA,EXJ99,NA,RNA,linear,-0.0607831677381648,0.646629557858092
Pseudomonas phage phi2954,Riboviria,PsPhphi2954,bacteria,RNA,linear,0.0801870251315021,0.545058294420916
Dendrobium chlorotic mosaic virus,Riboviria,KM682,land plants,RNA,linear,-0.497019286966686,7.7515244710599e-05
Escherichia phage vB EcoM ECOO78,NA,FDH43,NA,NA,NA,-0.0731735827001753,0.580866509303832
Lactococcus phage 340,Duplodnaviria,HYO71,bacteria,DNA,linear,-0.549678550555231,9.31590496492207e-06
Sabo virus,NA,FLA85,NA,RNA,linear,-0.439099941554647,0.000568629326780406
Ageratum leaf curl Cameroon virus,Monodnaviria,NA,land plants,DNA,circular,-0.442957334891876,0.000502943216298128
Achromobacter phage vB AxyP 19-32 Axy11,NA,KMC60,NA,NA,NA,0.276329631794272,0.03445958874898
Betachrysovirus aspergilli,Riboviria,KM761,fungi,NA,NA,0.239392168322618,0.0680031223447043
Bemisia-associated genomovirus NfO,Monodnaviria,CFB79,invertebrates,DNA,circular,-0.125014611338399,0.344523560880052
Orungo virus,Riboviria,D1R87,human,RNA,linear,-0.419286966686149,0.00104616573137987
Avon-Heathcote Estuary associated circular virus 7,Monodnaviria,VM30,invertebrates,DNA,circular,-0.297311513734658,0.0225595226621991
Clitocybe odora virus,Riboviria,COV,fungi,RNA,linear,-0.481472822910579,0.000136728604209902
Streptococcus phage M102AD,Duplodnaviria,AVU37,bacteria,DNA,circular,-0.524547048509644,2.66298285247e-05
Pepper leaf curl Bangladesh virus,Monodnaviria,PlcBvsAgp,land plants,DNA,circular,-0.436060783167738,0.00062577857819694
Tomato leaf curl Hajipur betasatellite,Tolecusatellitidae,C714,land plants,DNA,circular,-0.309936575052854,0.0410686827858303
Microbacterium phage vB MoxS-ISF9,NA,ISF9,NA,NA,NA,0.492402104032729,9.19874247120423e-05
Small anellovirus 1,Anelloviridae,SAV1,human:vertebrates,DNA,circular,-0.449198683441509,0.000462553679919164
Pagoda yellow mosaic associated virus,Riboviria,GV77,land plants,DNA,circular,-0.150496785505552,0.254490892139201
Providencia phage Redjac,Duplodnaviria,Redjac,bacteria,DNA,linear,-0.173407364114553,0.188548965140034
Staphylococcus phage EW,NA,EWORF03,NA,NA,NA,-0.559731151373466,5.99459655566327e-06
Avian myelocytomatosis virus,Riboviria,Amvgp1,vertebrates,RNA,linear,0.320514319111631,0.0136587587681395
Paramuricea placomus associated circular virus,NA,AMR02,NA,DNA,circular,-0.0942723553477499,0.476555607628339
Ruegeria phage vB RpoS-V18,NA,JT312,NA,NA,NA,0.481122150789012,0.000138450388505205
Beihai picorna-like virus 101,Riboviria,BVK47,invertebrates,RNA,linear,-0.50426651081239,5.89813157668968e-05
Gordil virus,Riboviria,KM585,vertebrates,RNA,linear,-0.391525423728814,0.00232398936389255
Pig-tailed macaque parvovirus,NA,D1R60,NA,DNA,linear,-0.529924021040327,2.14014791532268e-05
Mycobacterium phage Baka,Duplodnaviria,FGG20,bacteria,DNA,linear,0.457101110461718,0.000316928939551822
uncultured phage MedDCM-OCT-S08-C159,NA,HOT84,NA,DNA,linear,-0.509981851179673,5.5228244121614e-05
Serratia phage Muldoon,Duplodnaviria,HYP94,bacteria,DNA,linear,-0.425014611338399,0.000880218948769866
Rockport virus,Riboviria,D1S24,vertebrates,RNA,linear,-0.477615429573349,0.00015679961336579
Mycoplasma phage phiMFV1,unclassified bacterial viruses,phiMFV1,bacteria,DNA,linear,-0.518045112781955,5.5669116257859e-05
Menghai rhabdovirus,Riboviria,EXJ55,invertebrates,RNA,linear,-0.492343658679135,9.21856345501464e-05
Rose yellow mosaic virus,Riboviria,D607,land plants,RNA,linear,-0.474225599064874,0.000176637943941462
Clo Mor virus,NA,CA782,NA,RNA,linear,-0.43968439509059,0.000558199618721637
Microbacterium phage MementoMori,Duplodnaviria,HOT41,bacteria,DNA,linear,0.474299424774678,0.000201016109737035
Laodelphax striatella honeydew virus 1,Riboviria,CG72,invertebrates,RNA,linear,-0.58281706604325,2.08157737087275e-06
Rhizoctonia solani endornavirus 2,Riboviria,KM629,fungi,RNA,linear,-0.450555230859147,0.000393356011160532
Lamium leaf distortion virus,Riboviria,LLDV,land plants,DNA,circular,-0.480205481558953,0.00016377618040444
Pseudomonas phage TL,Duplodnaviria,CF76,bacteria,DNA,linear,0.0664523670368206,0.616162074100279
Hubei hepe-like virus 2,Riboviria,BWW00,invertebrates,RNA,linear,-0.511396843950906,4.48279598034777e-05
Lake Sarah-associated circular molecule 10,unclassified viruses,A0R85,invertebrates,DNA,circular,-0.487157287157287,0.000194852603214773
Sulfolobus monocaudavirus SMV1,Bicaudaviridae,CF87,archaea,DNA,circular,-0.510052600818235,4.7227969467482e-05
Mycobacterium phage Batiatus,Duplodnaviria,I5H14,bacteria,DNA,linear,0.439158386908241,0.000567578433095973
Bat coronavirus,Riboviria,CAU86,vertebrates,RNA,linear,-0.532729398012858,1.906982770052e-05
Squirrel monkey polyomavirus,Monodnaviria,PMPyV,vertebrates,DNA,circular,-0.485619366944538,0.000135320083698512
Propionibacterium phage PHL071N05,Duplodnaviria,P751,bacteria,DNA,linear,0.0304500292226768,0.81852955069629
Salmonella phage S118,Duplodnaviria,HYP66,bacteria,DNA,circular,-0.419637638807715,0.00103524523055775
Wenzhou picorna-like virus 44,Riboviria,BWS67,invertebrates,RNA,linear,-0.431969608416131,0.000710957068635288
Human bocavirus 2,Monodnaviria,AR658,human:vertebrates,NA,NA,-0.462010520163647,0.000268805501348179
Ourmia melon virus,Riboviria,OuMV,land plants,RNA,linear,-0.247516072472239,0.0589713043098439
Vaprio virus,Riboviria,FLA74,vertebrates,RNA,linear,-0.486031560490941,0.000116067705084653
Andrographis yellow vein leaf curl betasatellite,Tolecusatellitidae,DJ25,land plants,DNA,circular,-0.198282148934446,0.207397924377736
bovine rhinitis B virus 1,Riboviria,BRV2,vertebrates,RNA,linear,-0.427410870835769,0.00081816956573167
Sulfolobus islandicus rod-shaped virus 10,Adnaviria,CCL34,archaea,DNA,linear,-0.569608416130918,3.8420774757748e-06
Hubei tombus-like virus 6,Riboviria,BWX20,invertebrates,RNA,linear,-0.453360607831677,0.000358747982143572
Mal de Rio Cuarto virus,Riboviria,MRCV,land plants,DNA,linear,-0.55073056691993,8.90084775922314e-06
Mal de Rio Cuarto virus,Riboviria,MRCV,land plants,RNA,linear,-0.55073056691993,8.90084775922314e-06
Luffa begomovirus betasatellite,Tolecusatellitidae,AR671,land plants,DNA,circular,-0.291754756871036,0.0550240318725983
Mycobacterium phage Arlo,Duplodnaviria,JMN46,bacteria,DNA,linear,0.50292226767972,6.20742157858644e-05
Golden Gate virus,Riboviria,B919,vertebrates,RNA,linear,-0.3937463471654,0.00218529188631242
Spodoptera exigua iflavirus 2,Riboviria,CI06,invertebrates,RNA,linear,-0.490882524839275,9.72708147839538e-05
Picalivirus A,NA,EXJ47,NA,RNA,linear,0.032729398012858,0.805191095581258
Limeum africanum associated virus,Monodnaviria,C5Y53,land plants,DNA,circular,-0.543686803214934,1.71465790635176e-05
Kern Canyon virus,Riboviria,CAV01,vertebrates,RNA,linear,-0.470075978959673,0.000204053544696796
Roseobacter phage RD-1410W1-01,Duplodnaviria,HYO99,bacteria,DNA,linear,-0.0175336060783168,0.894980757026382
Hubei lepidoptera virus 1,Riboviria,BVA88,invertebrates,RNA,linear,-0.449736995908825,0.00040400929680149
Vibrio phage phi 1,Duplodnaviria,AVV30,bacteria,DNA,linear,-0.532203389830509,1.94881197623714e-05
Wheat spindle streak mosaic virus,Riboviria,F2Q07,land plants,RNA,linear,-0.388603156049094,0.00251847927630047
Wuhan Louse Fly Virus 9,Riboviria,BJK15,invertebrates,RNA,linear,-0.481823495032145,0.000135026545623219
Mycobacterium phage SoilDragon,Duplodnaviria,KIJ58,bacteria,DNA,linear,0.502571595558153,6.29053796836399e-05
Enterobacter phage KNP7,NA,NA,NA,DNA,linear,0.179661016949153,0.172916936844777
Changjiang narna-like virus 3,Riboviria,BWV48,invertebrates,RNA,linear,-0.42156633547633,0.000977004518107857
Baboon orthoreovirus,Riboviria,BoRV,vertebrates,RNA,linear,-0.511864406779661,4.40200331742669e-05
Beihai tombus-like virus 14,Riboviria,BWV35,invertebrates,RNA,linear,-0.437229690239626,0.000603207301248765
Paenibacillus phage Scottie,Duplodnaviria,KMD19,bacteria,DNA,linear,-0.139567504383402,0.290921893090852
Equine torovirus,NA,FK940,NA,RNA,linear,-0.542139099941555,1.28653759143863e-05
Barley stripe mosaic virus,Riboviria,BSMV,land plants,RNA,linear,-0.480187025131502,0.000143139829262569
Abutilon Brazil virus,Monodnaviria,AbBV,land plants,DNA,circular,-0.266393921683226,0.0417105856736001
Homalodisca vitripennis reovirus,Riboviria,HVRV,invertebrates,RNA,linear,-0.499824663939217,6.9781276858018e-05
Endive necrotic mosaic virus,Riboviria,B8062,land plants,RNA,linear,-0.30385739333723,0.0196524961566567
Macroptilium mosaic Puerto Rico virus,Monodnaviria,MmPRv,land plants,DNA,circular,-0.478492109877265,0.000152013723814339
Puumala orthohantavirus,Riboviria,PUUV,human:vertebrates,RNA,linear,-0.542957334891876,1.48161741213217e-05
Sida yellow mosaic China virus - [Hainan 8],Monodnaviria,A356,land plants,DNA,circular,-0.374342489772063,0.00369233337893887
Vibrio phage VvAW1,Duplodnaviria,I904,bacteria,DNA,circular,-0.365341905318527,0.00466319937380862
Ghunavirus WRT,Duplodnaviria,HOR77,bacteria,NA,NA,0.336236119228521,0.00952288172604966
Beihai picorna-like virus 26,Riboviria,BVF96,invertebrates,RNA,linear,-0.51104617182934,4.54429030553677e-05
Mycobacterium phage 244,Duplodnaviria,ST244p1,bacteria,DNA,linear,0.47510227936879,0.000171297498905131
Torque teno virus 14,Anelloviridae,TTV14,vertebrates,DNA,circular,-0.19573348918761,0.13712846638491
Wuhan flea virus,Riboviria,AS187,invertebrates,RNA,linear,-0.358270017533606,0.00557816706777004
Bovine parvovirus 1,Monodnaviria,D1T22,vertebrates,DNA,linear,-0.143717124488603,0.27670476896271
Primate T-lymphotropic virus 3,Riboviria,STLV3gp,human:vertebrates,DNA,linear,-0.0751022793687902,0.570912328749025
Belladonna mottle virus,Riboviria,D1T00,land plants,RNA,linear,-0.0924128503075872,0.49709334659262
Tree shrew adenovirus 1,Varidnaviria,TSAdV,vertebrates,DNA,linear,-0.238340151957919,0.0692501280822698
Mycobacterium phage Sebata,Duplodnaviria,FDI20,bacteria,DNA,linear,0.472063120981882,0.000190471577077398
Streptomyces phage WheeHeim,Varidnaviria,KMD61,bacteria,DNA,linear,0.0813559322033899,0.539196447933715
falcon adenovirus 1,Varidnaviria,FK838,vertebrates,DNA,linear,-0.247846889952153,0.0657125045514249
Diatom colony associated dsRNA virus 7,NA,EXL00,NA,RNA,linear,-0.0679135008766803,0.608410877563417
Cronobacter phage ENT39118,Duplodnaviria,G186,bacteria,DNA,circular,-0.00309760374050263,0.981540143486878
Porcine associated porprismacovirus 3,Monodnaviria,L678,vertebrates,DNA,circular,-0.280658542908997,0.0348014283350457
Little cherry virus 1,Riboviria,Lcv1gp,land plants,RNA,linear,-0.572764465225015,3.3248941279354e-06
Sweet potato chlorotic fleck virus,Riboviria,SPCFV,land plants,RNA,linear,-0.491934541203974,9.35841767271259e-05
Bovine mastadenovirus A,NA,BAdV,NA,DNA,linear,-0.538457042665108,1.50258399629905e-05
Mycobacterium phage Bella96,Duplodnaviria,I5G95,bacteria,DNA,linear,0.496201052016365,7.99158226787682e-05
Picornavirales Bu-3,Riboviria,BEN57,vertebrates,RNA,linear,-0.146931618936295,0.266015907877563
Xylella phage Sano,Duplodnaviria,FGG50,bacteria,DNA,circular,0.453886616014027,0.000352577457352315
Escherichia phage EC6098,Monodnaviria,HWD30,bacteria,DNA,linear,-0.315020455873758,0.0163652724660128
Tunis virus,Riboviria,F2Q21,vertebrates,RNA,linear,-0.4593804792519,0.000293682910831925
Synechococcus phage S-SM2,Duplodnaviria,SSM2,bacteria,DNA,linear,-0.463588544710696,0.000254821098487023
Wenzhou sobemo-like virus 4,Riboviria,BWS41,invertebrates,RNA,linear,-0.37051278107601,0.00442120577960278
Xanthomonas phage RiverRider,Duplodnaviria,HWB58,bacteria,DNA,linear,-0.105026300409117,0.42754331848336
Ranid herpesvirus 2,Duplodnaviria,RaHV2_gp001,vertebrates,DNA,linear,0.194915254237288,0.138803168148257
Sugarcane striate virus,Monodnaviria,CF101,land plants,DNA,linear,-0.452250146113384,0.000372099888247945
Sweet potato leaf curl Spain virus,Monodnaviria,SPBV,land plants,DNA,circular,-0.358912916423144,0.00548889108881402
Pseudomonas phage SM1,Duplodnaviria,FDG94,bacteria,DNA,linear,0.0708942139099942,0.592732142420117
Beihai tombus-like virus 4,Riboviria,BVB39,invertebrates,RNA,linear,-0.44593804792519,0.000457005772513096
Vespertiliovirus SkV1CR23x,Monodnaviria,SkV1VCR23x,bacteria,NA,NA,-0.475468331846566,0.000193080595231534
Escherichia phage ESCO5,Duplodnaviria,HOR27,bacteria,DNA,linear,-0.528462887200468,2.27185432160811e-05
Oenococcus phage phi9805,Duplodnaviria,CF77,bacteria,DNA,linear,-0.51052016364699,4.63799944889405e-05
Arthrobacter phage Preamble,Duplodnaviria,FDH61,bacteria,DNA,linear,0.523027469316189,2.83097357345309e-05
Shigella phage vB SflS-ISF001,NA,HOS16,NA,NA,NA,-0.346347165400351,0.00748274361050429
Passion fruit chlorotic mottle virus,Monodnaviria,EXK60,land plants,DNA,circular,-0.448158971361777,0.000425301917301856
Delftia phage RG-2014,Duplodnaviria,RG2014,bacteria,DNA,linear,0.421858562244302,0.000968443682171444
Vibrio phage QH,Duplodnaviria,ACQ41,bacteria,DNA,linear,-0.25073056691993,0.0556783587439553
Stx1 converting phage AU5Stx1,NA,H3H25,NA,DNA,linear,-0.293103448275862,0.0246153809002143
Hubei permutotetra-like virus 3,Riboviria,BWW72,invertebrates,RNA,linear,-0.516306253652835,3.69904659795843e-05
Lactococcus phage 936 group phage PhiLj,Duplodnaviria,HYO96,bacteria,DNA,linear,-0.560900058445354,5.6906115054826e-06
Wenling picorna-like virus 6,Riboviria,BWT33,invertebrates,RNA,linear,-0.494856808883694,8.40091751581856e-05
Clitoria yellow mottle virus,Riboviria,CliYMV,land plants,RNA,linear,-0.489187609585038,0.000103493204265309
Mycobacterium phage Brusacoram,Duplodnaviria,SEA,bacteria,DNA,linear,0.541554646405611,1.31877110562928e-05
Proteus phage vB PmiP Pm5460,NA,AVT60,NA,NA,NA,-0.495032144944477,8.34644958562861e-05
Hubei diptera virus 12,Riboviria,BWW10,invertebrates,RNA,linear,-0.453360607831677,0.000358747982143572
Fromanvirus mrgordo,Duplodnaviria,FGG31,bacteria,NA,NA,0.500058445353594,6.91701064946838e-05
Salmonella phage vB-SalM-PM10,Duplodnaviria,BI092,bacteria,DNA,circular,-0.442781998831093,0.000505772108723843
Mycobacterium phage CicholasNage,Duplodnaviria,KNU44,bacteria,DNA,linear,0.257042665108124,0.0496486949165879
Prochlorococcus phage P-SSP7,NA,PSSP7,NA,DNA,linear,-0.553535943892461,7.87717392375475e-06
Salmonella phage FSLSP004,Duplodnaviria,N272,bacteria,DNA,linear,-0.0592051431911163,0.655217447215131
Garlic virus D,Riboviria,X660,land plants,RNA,linear,-0.420981881940386,0.000994331988107643
Mycobacterium phage Serendipitous,Duplodnaviria,I5G64,bacteria,DNA,linear,0.541905318527177,1.29934159481529e-05
Strawberry crinkle virus,Riboviria,FK814,land plants,RNA,linear,-0.446331345605393,0.00056940830990367
Streptococcus phage SpSL1,Duplodnaviria,ACQ35,bacteria,DNA,linear,-0.498071303331385,7.45266627161859e-05
Malvastrum bright yellow mosaic virus,Monodnaviria,BKN27,land plants,DNA,circular,-0.336645236703682,0.00943175782790961
Mycobacterium phage Butters,Duplodnaviria,K768,bacteria,DNA,linear,0.482349503214495,0.000132509995634545
Salmonella phage SETP7,Duplodnaviria,V184,bacteria,DNA,linear,-0.356925774400935,0.00576898758808631
Bellflower vein chlorosis virus,Riboviria,AO717,land plants,RNA,linear,-0.45885447106955,0.000298904409080171
Hubei toti-like virus 15,Riboviria,BWU71,invertebrates,RNA,linear,-0.265575686732905,0.0423602791733856
Mycobacterium phage MarQuardt,Duplodnaviria,AVV34,bacteria,DNA,linear,0.513793103448276,4.08279735570052e-05
Ralstonia phage RS-PI-1,Duplodnaviria,HOR67,bacteria,DNA,circular,0.444243132670953,0.000482634455221309
Fischettivirus C1,Duplodnaviria,C1p,bacteria,NA,NA,-0.533196960841613,1.87050545129241e-05
Staphylococcus phage SA12,Duplodnaviria,SA12,bacteria,DNA,circular,-0.567329047340737,4.26181958061413e-06
Streptomyces phage Yosif,Duplodnaviria,KGG71,bacteria,DNA,linear,0.462794918330309,0.000296704906137718
Mannheimia phage vB MhS 535AP2,NA,AVV64,NA,NA,NA,-0.448392752776154,0.000422084174789465
Phietavirus ETA,Duplodnaviria,phiETA,bacteria,NA,NA,-0.558503798947984,6.33016837834831e-06
Mycobacterium phage Bromden,Duplodnaviria,J4T99,bacteria,DNA,linear,0.220397428404442,0.0934889687323706
Danaus plexippus plexippus iteravirus,Monodnaviria,DF38,invertebrates,DNA,linear,-0.505376972530684,5.65345563638405e-05
